nohup: ignoring input
Scheduling add_balance_to_users task to run daily at 2 AM...
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
add_balance_to_users task completed
add_balance_to_users task started!
